ED_CODE,ED_NAMEE,Direct Match,MATCHED
24030,Hull--Aylmer,24023,1
24031,Joliette,24025,1
24032,Jonquière,#N/A,0
24033,La Pointe-de-l'Île,#N/A,0
24034,La Prairie,#N/A,0
24035,Lac-Saint-Jean,#N/A,0
24036,Lac-Saint-Louis,24027,1
24037,LaSalle--Émard--Verdun,#N/A,0
24038,Laurentides--Labelle,24030,1
24039,Laurier--Sainte-Marie,24031,1
24040,Laval--Les Îles,#N/A,0
24041,Longueuil--Charles-LeMoyne,#N/A,0
24042,Lévis--Lotbinière,#N/A,0
24043,Longueuil--Saint-Hubert,#N/A,0
24044,Louis-Hébert,#N/A,0
24045,Louis-Saint-Laurent,24038,1
24046,Manicouagan,24039,1
24047,Mégantic--L'Érable,#N/A,0
24048,Mirabel,#N/A,0
24049,Montarville,#N/A,0
24050,Montcalm,24043,1
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,#N/A,0
24052,Mount Royal,24044,1
24053,Notre-Dame-de-Grâce--Westmount,#N/A,0
24054,Outremont,24047,1
24055,Papineau,24048,1
24056,Pierrefonds--Dollard,24049,1
24057,Pontiac,24050,1
24058,Portneuf--Jacques-Cartier,24051,1
24059,Québec,#N/A,0
24060,Repentigny,24053,1
24061,Richmond--Arthabaska,24055,1
24062,Rivière-des-Mille-Îles,#N/A,0
24063,Rivière-du-Nord,#N/A,0
24064,Rosemont--La Petite-Patrie,24061,1
24065,Marc-Aurèle-Fortin,#N/A,0
24066,Saint-Hyacinthe--Bagot,24063,1
24067,Saint-Jean,24064,1
24068,Saint-Laurent,#N/A,0
24069,Saint-Léonard--Saint-Michel,#N/A,0
24070,Saint-Maurice--Champlain,24068,1
24071,Salaberry--Suroît,#N/A,0
24072,Shefford,24069,1
24073,Sherbrooke,24070,1
24074,Vaudreuil--Soulanges,#N/A,0
24075,Terrebonne,#N/A,0
24076,Trois-Rivières,#N/A,0
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,#N/A,0
24078,Vimy,#N/A,0
35001,Ajax,#N/A,0
35002,Algoma--Manitoulin--Kapuskasing,35002,1
35003,Aurora--Oak Ridges--Richmond Hill,#N/A,0
35004,Barrie--Innisfil,#N/A,0
35005,Barrie--Springwater--Oro-Medonte,#N/A,0
35006,Bay of Quinte,#N/A,0
35007,Beaches--East York,35005,1
35008,Brampton Centre,#N/A,0
35009,Brampton East,#N/A,0
35010,Brampton North,#N/A,0
35011,Brampton South,#N/A,0
35012,Brampton West,35008,1
35013,Brantford--Brant,#N/A,0
